"STATE","OFFENSE","AdultBlack","AdultWhite","JuvenileBlack","JuvenileWhite","JuvenileFemale","JuvenileMale"
"District of Columbia","",0,0,0,0,0,0
"District of Columbia","Robbery",37,0,45,1,6,40
"District of Columbia","Aggravated assault",18,2,24,0,10,14
"District of Columbia","Larceny",26,2,35,1,4,32
"District of Columbia","Motor vehicle theft",7,0,23,0,1,22
"District of Columbia","Other assaults",119,28,52,1,16,37
"District of Columbia","Stolen property",13,2,2,0,0,2
"District of Columbia","Vandalism",14,6,13,1,4,10
"District of Columbia","Weapons",22,2,5,0,1,4
"District of Columbia","Total Drug Violations",47,20,12,1,0,13
"District of Columbia","Possession (subtotal)",40,19,8,1,0,9
"District of Columbia","Possession-Opiates",12,1,0,0,0,0
"District of Columbia","Possession-Marijuana",27,16,8,1,0,9
"District of Columbia","DUI",9,13,0,0,0,0
"District of Columbia","Liquor",1227,239,1,3,1,3
"District of Columbia","Drunkenness",29,49,0,0,0,0
"District of Columbia","Disorderly conduct",108,26,68,0,19,49
"District of Columbia","Vagrancy",119,16,0,0,0,0
"District of Columbia","All other non-traffic offenses",2250,934,171,23,46,149
"District of Columbia","Fraud",0,0,1,0,0,1
"District of Columbia","Sale (subtotal)",7,1,4,0,0,4
"District of Columbia","Sale-Opiates",2,0,0,0,0,0
"District of Columbia","Sale-Marijuana",4,0,4,0,0,4
"District of Columbia","Possession-Other drugs",1,2,0,0,0,0
"District of Columbia","Murder and manslaughter",1,0,0,0,0,0
"District of Columbia","Sale-Other drugs",1,1,0,0,0,0
"District of Columbia","Burglary",0,0,1,0,0,1
